id,name,artist,url
2ca553f535785d091fa5f466a565da9f,Còn Thương Thì Không Để Em Khóc,Miu Lê,https://www.nhaccuatui.com/bai-hat/con-thuong-thi-khong-de-em-khoc-miu-le.FJ8xQVU27ZGd.html
a88e365567d6825e9b7ce299f1cad177,Tình Anh Em,"Lâm Chấn Huy, Lâm Chấn Hải",https://www.nhaccuatui.com/bai-hat/tinh-anh-em-lam-chan-huy-ft-lam-chan-hai.fP3PCeG7jHFE.html
503fc57af2e3f34135d44fb748e109e6,Tôi Là Ai Trong Em (Đồi Thông),ERIK (MONSTAR ST.319),https://www.nhaccuatui.com/bai-hat/toi-la-ai-trong-em-doi-thong-erik-monstar-st319.zlYFyv4TAXgO.html
8d45328e14c13bc7e5ca7f39bbbd9dac,Cứ Đi Và Yêu,"Đan Trường, Trung Quang",https://www.nhaccuatui.com/bai-hat/cu-di-va-yeu-dan-truong-ft-trung-quang.TAL2soIITyIY.html
556c853511e3d17b70655c7b0c19ec75,Chiều Anh Ngồi Anh Nhớ,Trung Quang,https://www.nhaccuatui.com/bai-hat/chieu-anh-ngoi-anh-nho-trung-quang.yspt7pv8bhVF.html
7bbb3c87a4762aaa1df224cdd2ac8edf,"Chiều, Nụ Hôn, Và Những Điều Khác",Nguyên Hà,https://www.nhaccuatui.com/bai-hat/chieu-nu-hon-va-nhung-dieu-khac-nguyen-ha.1ErViYGxX5V5.html
d91cf7faaa199a4b6e0438f046eb4be3,Lỗi Ở Yêu Thương,Thanh Duy,https://www.nhaccuatui.com/bai-hat/loi-o-yeu-thuong-thanh-duy.DG3AsX6YhmXj.html
bdc3253fc9e14e5f2955f82b1f1da477,Hôn Em Thật Lâu,"Thành Dũng, Vinh Trịnh",https://www.nhaccuatui.com/bai-hat/hon-em-that-lau-thanh-dung-ft-vinh-trinh.Gcylz9qjBW4o.html
025a952d212b719c7bbde3aa8a22ed61,Plain Jane (Phiên Bản Việt Nam),Pháp Kiều,https://www.nhaccuatui.com/bai-hat/plain-jane-phien-ban-viet-nam-phap-kieu.0MwHPd2nLABq.html
3433ed1b2264006aa07736aca8d7b3b8,Body (Phiên Bản Việt Nam),Pháp Kiều,https://www.nhaccuatui.com/bai-hat/body-phien-ban-viet-nam-phap-kieu.ltiMeWvRgWvh.html
6f6e921ac040d83f7e398e48effec9c9,Chiều Hôm Ấy,JayKii,https://www.nhaccuatui.com/bai-hat/chieu-hom-ay-jaykii.vOJgz8CSLCpy.html
2d648150554f40ed8214e9f17b3f2f97,Chiều Hôm Ấy (C . A . O Remix),JayKii,https://www.nhaccuatui.com/bai-hat/chieu-hom-ay-c-a-o-remix-jaykii.I9t6mcg5p7a9.html
e6b08bbfb97f1e3f73bc2809204e121c,Chiều Hôm Ấy (Biss Mix),JayKii,https://www.nhaccuatui.com/bai-hat/chieu-hom-ay-biss-mix-jaykii.O5PNzBDbIg0J.html
cbd5e63d9933f08784598414433f36ec,Chiều Hôm Ấy (Lofi Version),JayKii,https://www.nhaccuatui.com/bai-hat/chieu-hom-ay-lofi-version-jaykii.EyRoqjSei3fN.html
6f6e921ac040d83f7e398e48effec9c9,Chiều Hôm Ấy,Kenny Duy Tân,https://www.nhaccuatui.com/bai-hat/chieu-hom-ay-kenny-duy-tan.QrafxR4uKyC7.html
cbcc7022ad9448474da3cc17c8086dea,Mộng Tình Phai,Thái Triệu Luân,https://www.nhaccuatui.com/bai-hat/mong-tinh-phai-thai-trieu-luan.7qNTJuJlfI.html
cbcc7022ad9448474da3cc17c8086dea,Mộng Tình Phai,"Nhật Thy, Thái Triệu Luân",https://www.nhaccuatui.com/bai-hat/mong-tinh-phai-nhat-thy-ft-thai-trieu-luan.yTBOqUSYJ2.html
7f886bdeaf0a6328611cf95d7a2463d5,Mộng Tình,HKT,https://www.nhaccuatui.com/bai-hat/mong-tinh-hkt.nIcocnG0B6.html
c3d5f54fb9b8a8d7201e5db4167f8e55,Thiệp Hồng Người Dưng (DinhLong Remix),"Phát Hồ, Jokes Bii, Sinike",https://www.nhaccuatui.com/bai-hat/thiep-hong-nguoi-dung-dinhlong-remix-phat-ho-ft-jokes-bii-ft-sinike.LA963imzbs6D.html
d3a9ce0708e04477f7a7c9b7f629a9b3,Trái Tim Mồ Côi,"Phát Hồ, Kiều Trang",https://www.nhaccuatui.com/bai-hat/trai-tim-mo-coi-phat-ho-ft-kieu-trang.93HxPsf4LSpE.html
7aebd4e1367099008747f8bff999c891,Tiếng Cuốc Gọi Đêm,"Đan Trường, Phi Nhung",https://www.nhaccuatui.com/bai-hat/tieng-cuoc-goi-dem-dan-truong-ft-phi-nhung.RuYaMsXW2LRJ.html
7aebd4e1367099008747f8bff999c891,Tiếng Cuốc Gọi Đêm,Quang Hải,https://www.nhaccuatui.com/bai-hat/tieng-cuoc-goi-dem-quang-hai.qNZDxTNTLB.html
ccd52adcfb28204c7dcf2acf8506fc28,Gọi Đêm,"mơ, Bin-Q",https://www.nhaccuatui.com/bai-hat/goi-dem-mo-ft-bin-q.0mOn7kgVtcLG.html
e845a559b4782a4b6b65430c7e2a7dd3,Gọi Đêm (Beat),"mơ, Bin-Q",https://www.nhaccuatui.com/bai-hat/goi-dem-beat-mo-ft-bin-q.M6Bv7PzqBIF4.html
5f4620f2a85939e58f1d81be58ec68e4,7 Cuộc Gọi Nhỡ,"Khói, Two",https://www.nhaccuatui.com/bai-hat/7-cuoc-goi-nho-khoi-ft-two.c29zKLVHkVir.html
dd932de4cd61d5314f82b52dbbb055e5,Có Lẽ,Thúy Khanh,https://www.nhaccuatui.com/bai-hat/co-le-thuy-khanh.UumAR8TiGlhZ.html
dd932de4cd61d5314f82b52dbbb055e5,Có Lẽ,Lam Trường,https://www.nhaccuatui.com/bai-hat/co-le-lam-truong.AVxctJyd6vah.html
dd932de4cd61d5314f82b52dbbb055e5,Có Lẽ,Quỳnh Nga,https://www.nhaccuatui.com/bai-hat/co-le-quynh-nga.lBE1greD5POY.html
396f56ea1989bca1e8bcd26b67b99725,Có Lẻ,Trần Thái,https://www.nhaccuatui.com/bai-hat/co-le-tran-thai.mbXbmUhdtWX2.html
dd932de4cd61d5314f82b52dbbb055e5,Có Lẽ,Đan Phương,https://www.nhaccuatui.com/bai-hat/co-le-dan-phuong.FGEFNI60MmAb.html
ded118797d2a62e51e462454972acee6,Đừng Trách Diêu Bông (Tân Cổ),"Lệ Thủy (NSND), Minh Vương (NSND)",https://www.nhaccuatui.com/bai-hat/dung-trach-dieu-bong-tan-co-le-thuy-nsnd-ft-minh-vuong-nsnd.ZjdhgUvF46.html
78825fa298793cdb600faae7523fad2c,Lá Diêu Bông (Remix),Khánh Phong,https://www.nhaccuatui.com/bai-hat/la-dieu-bong-remix-khanh-phong.qsmLfNFdSk5Z.html
72f8a2ce5475fb6ea89e6b2279cb74c8,Lá Diêu Bông 2,Hạ Vy,https://www.nhaccuatui.com/bai-hat/la-dieu-bong-2-ha-vy.TpfznMYkKJ.html
881a4dd326fc9e7d389af1cd12366d9a,Lá Diêu Bông,Thu Hiền (NSND),https://www.nhaccuatui.com/bai-hat/la-dieu-bong-thu-hien-nsnd.dHeOSceWQjTQ.html
c1a52d6fe43030912aeb3f96ed72de5e,Chuyện Tình Lá Diêu Bông,Ái Vân,https://www.nhaccuatui.com/bai-hat/chuyen-tinh-la-dieu-bong-ai-van.uEBefly4FYuX.html
e4485e016c4582bfb0c286e8783b2f45,Lạnh Không Em,Vương Bảo Lâm,https://www.nhaccuatui.com/bai-hat/lanh-khong-em-vuong-bao-lam.awyh4ZsKI29i.html
e799354d0d8ee19e499fa7074020b6cc,Đừng Rời Xa,Nhật J-O,https://www.nhaccuatui.com/bai-hat/dung-roi-xa-nhat-j-o.KXvxn4rZxgeO.html
